run_id,Vrf_low_kV,Vrf_high_kV,voltage_ratio,jump_turns,jump_start_turn,T_s_turns_low,jump_over_Ts,min_time_sigma_ns,turn_of_min,hit_end_of_window,eps_growth,valid,under_threshold
run_1785876203823191,144.72222222222223,320.0,2.2111324376199617,320,500,3808.1897203731805,0.0840294269710496,6.334338322176672,2590,False,123.3280955467447,False,False
run_1785876205363387,144.72222222222223,320.0,2.2111324376199617,1280,500,3808.1897203731805,0.3361177078841984,6.956026906624737,1742,False,89.71155562660046,False,False
run_1785876206984299,144.72222222222223,320.0,2.2111324376199617,5120,500,3808.1897203731805,1.3444708315367937,8.42117319754296,2999,True,29.896935632252823,False,False
run_1785876209012721,144.72222222222223,320.0,2.2111324376199617,20480,500,3808.1897203731805,5.377883326147175,9.293738133422208,2029,False,1.1852221476602514,False,False
run_1785876210814717,155.77777777777777,320.0,2.0542082738944365,5,500,3670.56933272077,0.0013621865020851695,6.412119347634308,1150,False,111.92084976806248,False,False
run_1785876212372996,155.77777777777777,320.0,2.0542082738944365,20,500,3670.56933272077,0.005448746008340678,6.411525822779647,1157,False,111.95477631137247,False,False
run_1785876213818287,155.77777777777777,320.0,2.0542082738944365,80,500,3670.56933272077,0.021794984033362712,6.411394264171219,2472,False,111.96084130045713,False,False
run_1785876215321742,155.77777777777777,320.0,2.0542082738944365,320,500,3670.56933272077,0.08717993613345085,6.446911836597267,2590,False,109.9415511926228,False,False
run_1785876216774581,155.77777777777777,320.0,2.0542082738944365,1280,500,3670.56933272077,0.3487197445338034,7.039510529075667,1742,False,79.55540354015463,False,False
run_1785876218248929,155.77777777777777,320.0,2.0542082738944365,5120,500,3670.56933272077,1.3948789781352136,8.346905315706941,2999,True,27.093795078265156,False,False
run_1785876219900596,155.77777777777777,320.0,2.0542082738944365,20480,500,3670.56933272077,5.579515912540854,9.13307743706672,1928,False,0.9065275672057611,False,False
run_1785876221432457,166.83333333333334,320.0,1.918081918081918,5,500,3546.86588051889,0.001409695254467452,6.521200512282421,1150,False,99.73205459107079,False,False
run_1785876222881141,166.83333333333334,320.0,1.918081918081918,20,500,3546.86588051889,0.005638781017869808,6.520571605984885,1158,False,99.7654388589942,False,False
run_1785876224365494,166.83333333333334,320.0,1.918081918081918,80,500,3546.86588051889,0.02255512407147923,6.52020518243979,2472,False,99.78376610946249,False,False
run_1785876225789183,166.83333333333334,320.0,1.918081918081918,320,500,3546.86588051889,0.09022049628591693,6.553458853028586,2590,False,97.99832541787895,False,False
run_1785876227492212,166.83333333333334,320.0,1.918081918081918,1280,500,3546.86588051889,0.3608819851436677,7.115716900181284,1741,False,70.4737952769316,False,False
run_1785876229075264,166.83333333333334,320.0,1.918081918081918,5120,500,3546.86588051889,1.4435279405746708,8.275656521447917,2999,True,24.576185650173443,False,False
run_1785876230805044,166.83333333333334,320.0,1.918081918081918,20480,500,3546.86588051889,5.774111762298683,8.982298081592555,2999,True,0.7727828438277657,False,False
run_1785876232286509,177.88888888888889,320.0,1.7988757026858213,5,500,3434.8815490264333,0.0014556542718095115,6.62493834953015,2435,False,88.74916054325307,False,False
run_1785876234019587,177.88888888888889,320.0,1.7988757026858213,20,500,3434.8815490264333,0.005822617087238046,6.624281804598068,2443,False,88.78228448338486,False,False
run_1785876235828396,177.88888888888889,320.0,1.7988757026858213,80,500,3434.8815490264333,0.023290468348952185,6.6237280240535625,2472,False,88.80982753110811,False,False
run_1785876237468873,177.88888888888889,320.0,1.7988757026858213,320,500,3434.8815490264333,0.09316187339580874,6.654675288447424,2590,False,87.23047897267654,False,False
run_1785876239037814,177.88888888888889,320.0,1.7988757026858213,1280,500,3434.8815490264333,0.37264749358323496,7.185470313735474,1740,False,62.27796601593914,False,False
run_1785876240712381,177.88888888888889,320.0,1.7988757026858213,5120,500,3434.8815490264333,1.4905899743329398,8.208629757885173,2999,True,22.25189545029842,False,False
run_1785876242645462,177.88888888888889,320.0,1.7988757026858213,20480,500,3434.8815490264333,5.962359897331759,8.834408594451263,2999,True,0.9329055962181036,False,False
run_1785876244542390,188.94444444444443,320.0,1.693619523669509,5,500,3332.8756408245704,0.0015002059899129553,6.723934311069855,2436,False,78.76021207947656,False,False
run_1785876246680722,188.94444444444443,320.0,1.693619523669509,20,500,3332.8756408245704,0.006000823959651821,6.723259104146344,2443,False,78.79315192005814,False,False
run_1785876248765197,188.94444444444443,320.0,1.693619523669509,80,500,3332.8756408245704,0.024003295838607285,6.7225280983369275,2473,False,78.82805398734723,False,False
run_1785876250872048,188.94444444444443,320.0,1.693619523669509,320,500,3332.8756408245704,0.09601318335442914,6.751139631640128,2590,False,77.43268825465348,False,False
run_1785876252899447,188.94444444444443,320.0,1.693619523669509,1280,500,3332.8756408245704,0.38405273341771656,7.249449810164699,1739,False,54.823228211895696,False,False
run_1785876254612840,188.94444444444443,320.0,1.693619523669509,5120,500,3332.8756408245704,1.5362109336708663,8.146561741768515,2999,True,20.05432542793244,False,False
run_1785876256368392,188.94444444444443,320.0,1.693619523669509,20480,500,3332.8756408245704,6.144843734683465,8.697026295968978,2999,True,1.1030469806917753,False,False
run_1785876258070322,200.0,320.0,1.6,5,500,3239.449178651611,0.0015434722770002525,6.81867665185545,2436,False,69.60077989100752,False,False
run_1785876259839442,200.0,320.0,1.6,20,500,3239.449178651611,0.00617388910800101,6.81798978667957,2444,False,69.63277491354152,False,False
run_1785876261608157,200.0,320.0,1.6,80,500,3239.449178651611,0.02469555643200404,6.817093763371988,2473,False,69.67452663126782,False,False
run_1785876263416894,200.0,320.0,1.6,320,500,3239.449178651611,0.09878222572801616,6.843338200699907,2590,False,68.44495432583328,False,False
run_1785876265248263,200.0,320.0,1.6,1280,500,3239.449178651611,0.39512890291206465,7.308221721259062,1737,False,47.99672289881675,False,False
run_1785876267063879,200.0,320.0,1.6,5120,500,3239.449178651611,1.5805156116482586,8.089789897639065,2999,True,17.937535365822402,False,False
run_1785876268906170,200.0,320.0,1.6,20480,500,3239.449178651611,6.322062446593034,8.570363309077154,2999,True,1.2310015667164718,False,False
