turn,Vrf_kV,dE_avg_GeV,dE_sigma_GeV,dE_min_GeV,dE_max_GeV,time_avg_ns,time_sigma_ns,time_min_ns,time_max_ns
550,320.0,-9.588528406477837e-05,0.00677316669598338,-0.013421255942304155,0.013421024002065384,0.08219316458361857,3.852895272240317,-7.6087141262306375,7.667357185399766
551,320.0,-9.62526271797042e-05,0.006786737907937901,-0.013448426629473199,0.013449057877032745,0.08206298716380371,3.8456183098469263,-7.593068904528337,7.652892774349965
552,320.0,-9.661938586334895e-05,0.006800284256184422,-0.013475515600734858,0.013477010036706916,0.08193231110089896,3.8383262913546465,-7.577377454609575,7.638381786025661
553,320.0,-9.698555788356798e-05,0.006813805560024373,-0.01350252268972016,0.01350488030939526,0.08180113719116573,3.8310193089321762,-7.561639871627477,7.623824308427231
554,320.0,-9.735114101178266e-05,0.006827301639865164,-0.013529447730552363,0.013532668523896627,0.08166946623387301,3.823697455303773,-7.545856251018108,7.609220429840462
555,320.0,-9.771613302299396e-05,0.00684077231721063,-0.013556290557848037,0.01356037450950249,0.08153729903127734,3.8163608237538194,-7.530026688497458,7.594570238833683
556,320.0,-9.808053169579638e-05,0.006854217414651622,-0.013583051006718156,0.013587998095998075,0.08140463638863034,3.8090095081315165,-7.514151280063999,7.579873824258129
557,320.0,-9.844433481239105e-05,0.006867636755856707,-0.013609728912769199,0.013615539113663465,0.08127147911415974,3.801643602855542,-7.498230121997437,7.565131275246188
558,320.0,-9.880754015859966e-05,0.006881030165563006,-0.013636324112104222,0.013642997393274747,0.08113782801908812,3.7942632029188617,-7.482263310856126,7.550342681213664
559,320.0,-9.917014552387785e-05,0.006894397469567148,-0.01366283644132395,0.013670372766105113,0.08100368391759799,3.7868684038935605,-7.466250943477121,7.535508131855806
560,320.0,-9.953214870132867e-05,0.006907738494716348,-0.01368926573752786,0.013697665063925989,0.08086904762684782,3.7794593019357317,-7.4501931169774025,7.520627717148699
561,320.0,-9.989354748771626e-05,0.006921053068899604,-0.013715611838315253,0.013724874119008133,0.08073391996696107,3.7720359937904835,-7.434089928753053,7.505701527349231
562,320.0,-0.00010025433968347904,0.006934341021039014,-0.01374187458178633,0.013751999764122759,0.0805983017610202,3.7645985767969625,-7.417941476474596,7.490729652992485
563,320.0,-0.00010061452309274346,0.00694760218108121,-0.013768053806543265,0.013779041832542641,0.08046219383506131,3.7571471488934427,-7.4023683895007935,7.475712184893126
564,320.0,-0.00010097409552333731,0.006960836379988901,-0.01379414935169128,0.013806000158043218,0.0803255970180732,3.7496818086225296,-7.387943008829666,7.460649214144439
565,320.0,-0.00010133305478680301,0.0069740434497325395,-0.01382016105683971,0.013832874574903693,0.08018851214198776,3.7422026551364125,-7.373472644814541,7.44554083211716
566,320.0,-0.00010169139869841124,0.006987223223282093,-0.013846088762103057,0.01385966491790814,0.0800509400416864,3.734709788202149,-7.3589573852283365,7.430387130459394
567,320.0,-0.00010204912507717399,0.007000375534598931,-0.013871932308102072,0.013886371022346598,0.0799128815549646,3.727203308207103,-7.344397318120571,7.415188201095816
568,320.0,-0.00010240623174585828,0.007013500218627811,-0.013897691535964795,0.013912992724016159,0.07977433752256902,3.7196833161643688,-7.329792531811393,7.3999441362281
569,320.0,-0.00010276271653099909,0.007026597111288993,-0.01392336628732762,0.01393952985922207,0.07963530878815264,3.7121499137183336,-7.315143114896188,7.384655028333157
570,320.0,-0.00010311857726291298,0.007039666049470431,-0.013948956404336344,0.013965982264778815,0.07949579619830906,3.704603203150279,-7.300449156243104,7.369320970162818
571,320.0,-0.0001034738117757111,0.007052706871020103,-0.013974461729647222,0.013992349778011207,0.07935580060252412,3.697043287384084,-7.285710744992201,7.3539420547433
