turn,Vrf_kV,time_mean_ns,time_sigma_ns,time_min_ns,time_max_ns,dE_mean_MeV,dE_sigma_MeV,dE_min_MeV,dE_max_MeV,t2,dE2,t_dE,eps_rms,Q1,Q2,Q_amp,theta_Q
596,20.0,0.0752473844542063,10.532557761552427,-21.063820186121887,21.10236361696795,-0.04459997595097818,4.794496063073395,-9.480387803396328,9.515393208152037,110.94043516930546,2.298918165668111e-05,0.000342237613237632,0.05050062069514099,-0.0021114919590798577,0.0033952773837772087,0.003998287984381303,1.0635783642276502
597,20.0,0.07518684884444524,10.53260447521078,-21.064597106482324,21.1026982609863,-0.04462102373760731,4.794475150307334,-9.480010767063238,9.515485971023452,110.94141009346933,2.2988983002673917e-05,0.0003427238658295738,0.05050062109799476,-0.002107125941985532,0.0034001014076844734,0.004000083663865839,1.062796491649103
598,20.0,0.07512628456602093,10.532651251376977,-21.065366113439154,21.103024977619924,-0.044642054624559474,4.794454209646,-9.479630118095729,9.515575106668297,110.94238634176571,2.2988784081433357e-05,0.00034320957954420156,0.05050062150384213,-0.0021027540232042563,0.0034049200854874913,0.004001881466342779,1.0620150462425202
599,20.0,0.0750656916419419,10.532698089979823,-21.066127206712423,21.10334376675064,-0.04466306860364107,4.794433241120349,-9.479245856651271,9.515660615049665,110.94336391272627,2.2988584893256872e-05,0.00034369475366022415,0.05050062191268049,-0.0020983762092927263,0.003409733410030465,0.004003681386324803,1.0612340279329686
600,20.0,0.07500507009523046,10.532744990948007,-21.06688038602303,21.103654628262404,-0.044684065666665086,4.794412244761375,-9.478857982888831,9.515742496132143,110.94434280488035,2.2988385438442306e-05,0.0003441793874571522,0.05050062232450717,-0.0020939925068169407,0.0034145413741655524,0.004005483418327165,1.0604534366433063
601,20.0,0.07494441994892627,10.532791954210158,-21.067625651096108,21.10395756204258,-0.04470504580545115,4.79439122060011,-9.478466496968865,9.515820749881824,110.94532301675571,2.298818571728788e-05,0.0003446634802152622,0.05050062273931956,-0.002089602922350699,0.003419343970752501,0.004007287556866622,1.059673272294057
602,20.0,0.07488374122607365,10.532838979694791,-21.068363001658497,21.10425256798146,-0.044726009011825475,4.794370168667628,-9.478071399053324,9.515895376266302,110.94630454687803,2.2987985730092185e-05,0.0003451470312156339,0.05050062315711497,-0.0020852074624766186,0.0034241411926590423,0.0040090937964623215,1.0588935348035045
603,20.0,0.07482303394974324,10.53288606733033,-21.06909243744127,21.10453964597275,-0.044746955277621014,4.794349088995042,-9.477672689305647,9.515966375254676,110.9472873937708,2.298778547715421e-05,0.0003456300397401802,0.05050062357789068,-0.002080806133786518,0.0034289330327611544,0.004010902131636249,1.0581142240877286
604,20.0,0.07476229814299716,10.532933217045109,-21.06981395817718,21.1048187959114,-0.044767884594677176,4.794327981613506,-9.477270367890773,9.51603374681754,110.94827155595587,2.2987584958773313e-05,0.0003461125050716527,0.05050062400164399,-0.002076398942879837,0.0034337194839431516,0.004012712556912509,1.057335340060443
605,20.0,0.07470153382891653,10.53298042876738,-21.070527563603235,21.105090017696625,-0.044788796954840115,4.7943068465542105,-9.476864434975129,9.516097490926997,110.94925703195304,2.2987384175249235e-05,0.0003465944264935149,0.05050062442837218,-0.0020719858963650028,0.003438500539096404,0.004014525066816963,1.0565568826332348
606,20.0,0.07464074103059365,10.533027702425288,-21.071233253458104,21.1053533112306,-0.044809692349962654,4.794285683848388,-9.476454890726634,9.516157607556648,110.95024382028016,2.2987183126882106e-05,0.00034707580329010644,0.0505006248580725,-0.002067567000858923,0.003443276191120972,0.004016339655878385,1.055778851715417
607,20.0,0.07457991977114119,10.533075037946897,-21.07193102748431,21.105608676417603,-0.04483057077190414,4.7942644935273115,-9.4760417353147,9.516214096681601,110.95123191945311,2.2986981813972418e-05,0.0003475566347466332,0.050500625290742174,-0.002063142262987023,0.003448046432925519,0.004018156318628434,1.0550012472140495
608,20.0,0.07451907007366364,10.533122435260166,-21.07262088542646,21.10585611316489,-0.044851432212530684,4.79424327562229,-9.475664444818266,9.51626695827846,110.95222132798571,2.2986780236821054e-05,0.00034803692014903013,0.05050062572637838,-0.002058711689383507,0.0034528112574259266,0.004019975049600619,1.054224069034069
609,20.0,0.07445819196129529,10.533169894292977,-21.07330282703174,21.10609562138268,-0.04487227666371496,4.794222030164674,-9.476190563357713,9.516316192325334,110.95321204439006,2.298657839572927e-05,0.0003485166587840421,0.05050062616497834,-0.0020542752866907913,0.0034575706575461296,0.0040217958433307515,1.0534473170781848
610,20.0,0.07439728545716319,10.533217414973109,-21.07397685205109,21.10632720098414,-0.04489310411733635,4.794200757185854,-9.47671307131177,9.516361798801839,110.95420406717618,2.2986376290998703e-05,0.0003489958499392839,0.05050062660653921,-0.002049833061559777,0.0034623246262186747,0.0040236186943575815,1.0526709912468848
611,20.0,0.0743363505844222,10.533264997228255,-21.074642960238464,21.106550851886254,-0.04491391456528086,4.794179456717258,-9.47723196846432,9.516403777689082,110.95519739485215,2.2986173922931368e-05,0.00034947449290315813,0.05050062705105812,-0.002045385020650092,0.003467073156383936,0.0040254435972222795,1.0518950914385232
612,20.0,0.07427538736623115,10.533312640986011,-21.075301151350345,21.106766574007708,-0.044934707999441145,4.794158128790357,-9.477747254600741,9.51644212896968,110.95619202592415,2.2985971291829658e-05,0.0003499525869648539,0.050500627498532215,-0.0020409311706298134,0.003471816240990089,0.0040272705464682815,1.0511196175493045
613,20.0,0.07421439582575827,10.533360346173893,-21.07595142514529,21.106974367269743,-0.044955484411716554,4.794136773436657,-9.4782589295079,9.516476852627754,110.9571879588964,2.2985768397996335e-05,0.00035043013141447706,0.050500627948958585,-0.002036471518175201,0.0034765538729944027,0.0040290995366423,1.0503445694731834
614,20.0,0.07415337598618604,10.533408112719316,-21.076593781387032,21.10717423159781,-0.044976243794013146,4.794115390687705,-9.478766992974156,9.516507948648924,110.95818519227127,2.2985565241734543e-05,0.0003509071255428244,0.050500628402334345,-0.002032006069971136,0.003481286045360997,0.004030930562292627,1.0495699471020665
615,20.0,0.07409232787070576,10.533455940549604,-21.077228219839213,21.107366166919917,-0.044996986138243524,4.794093980575086,-9.479271444789362,9.516535417020313,110.95918372454904,2.2985361823347804e-05,0.00035138356864158145,0.050500628858656534,-0.0020275348327112403,0.003486012751062812,0.004032763617970921,1.0487957503257122
616,20.0,0.07403125150252257,10.533503829591991,-21.077854740269743,21.107550173166175,-0.04501771143632709,4.7940725431304285,-9.479772284744854,9.51655925773054,110.96018355422817,2.298515814314002e-05,0.00035185946000326627,0.05050062931792222,-0.002023057813097321,0.00349073398308105,0.004034598698231462,1.0480219790317173
617,20.0,0.073970146904848,10.533551779773623,-21.078473342450792,21.10772625027053,-0.04503841968018987,4.794051078385394,-9.480269512633466,9.51657947076974,110.96118467980516,2.2984954201415448e-05,0.0003523347989211436,0.050500629780128405,-0.0020185750178395045,0.003495449734404322,0.004036435797630504,1.0472486331055972
618,20.0,0.07390901410091066,10.53359979102155,-21.07908402615493,21.107894398169037,-0.045059110861764576,4.794029586371686,-9.480763128249524,9.516596056129536,110.9621870997746,2.298474999847874e-05,0.0003528095846893926,0.05050063024527212,-0.0020140864536566687,0.0035001599980303,0.0040382749107279415,1.0464757124307402
619,20.0,0.07384785311394643,10.53364786326274,-21.07968679115936,21.108054616800672,-0.045079784972990596,4.794008067121049,-9.481253131388845,9.516609013803064,110.96319081262921,2.298454553463491e-05,0.0003532838166029976,0.05050063071335035,-0.0020095921272756797,0.003504864766964656,0.004040116032086035,1.045703216888404
620,20.0,0.07378666396719843,10.53369599642406,-21.08028163724387,21.108206906108705,-0.04510044200581405,4.793986520665263,-9.481739521848732,9.516618343784959,110.9641958168597,2.2984340810189358e-05,0.00035375749395769507,0.050500631184360066,-0.002005092045432133,0.003509564034220516,0.004041959156269321,1.0449311463578395
621,20.0,0.07372544668392547,10.533744190432296,-21.08086856419078,21.108351266037232,-0.04512108195218769,4.793964947036149,-9.482222299427988,9.516624046071351,110.96520211095489,2.298413582544784e-05,0.00035423061605015916,0.050500631658298205,-0.0020005862148699686,0.0035142577928203153,0.004043804277846056,1.0441595007161475
622,20.0,0.07366420128740028,10.533792445214136,-21.08144757178451,21.108487696535008,-0.045141704804071016,4.793943346265564,-9.482701463926903,9.516626120659883,110.96620969340172,2.2983930580716496e-05,0.0003547031821777956,0.05050063213516171,-0.00199607464234144,0.0035189460357937393,0.004045651391386433,1.043388279838413
623,20.0,0.0736029278009067,10.533840760696181,-21.08201865981502,21.108616197552493,-0.04516231055343021,4.793921718385409,-9.483177015147263,9.516624567549696,110.96721856268519,2.2983725076301842e-05,0.0003551751916388407,0.050500632614947506,-0.0019915573346071646,0.0035236287561787255,0.004047500491463494,1.0426174835976612
