turn,Vrf_kV,K0_GeV,phi_s_deg,time_mean_ns,time_sigma_ns,time_min_ns,time_max_ns,dE_mean_MeV,dE_sigma_MeV,dE_min_MeV,dE_max_MeV,t2,dE2,t_dE,eps_rms,Q1,Q2,Q_amp,theta_Q,gamma,Zon_ohm,unstable
1189,34.0997909,24.0,0.0,0.020538222198278125,13.830526997426135,-27.58962650297329,27.56835351343804,-0.09155423283069881,7.784720888717401,-15.58744082606743,15.470269690482057,191.28389884510426,6.061026149278226e-05,-0.0023301733008478215,0.10764914036233032,-0.0036342360926629566,-0.010845118997829032,0.011437844117415061,-0.9470695406701851,26.57893624393974,151.97197504371644,False
1190,34.10669,24.0,0.0,0.02041570480356283,13.830304659577184,-27.59036465137001,27.566380940197945,-0.09156402488576743,7.784859869509553,-15.587929827115648,15.471773168045763,191.27774377772494,6.061242715855357e-05,-0.0023388464756978005,0.10764914355879912,-0.0036512588441464486,-0.010885485786557911,0.011481528293581476,-0.9472138834615038,26.57893624393974,151.97495824014692,False
1191,34.113594899999995,24.0,0.0,0.020293174265905253,13.830081474229834,-27.591085535946917,27.564391117610455,-0.09157376046510902,7.784999400799019,-15.588408926873122,15.473267030720365,191.27156539675704,6.061460142404682e-05,-0.002347532104230506,0.10764914673743374,-0.0036683477252361344,-0.010925910537358145,0.011525289415177341,-0.9473590513862845,26.57893624393974,151.97795353937684,False
1192,34.1205056,24.0,0.0,0.02017063066129199,13.829857440132697,-27.59178915277718,27.56238404336952,-0.09158343954102029,7.785139483544201,-15.588878121022729,15.474751273658033,191.26536366873503,6.061678430463703e-05,-0.0023562301782316486,0.10764914989818945,-0.0036855028434778277,-0.010966393211998693,0.011569127507701442,-0.9475050371284501,26.57893624393974,151.9809609641832,False
1193,34.1274221,24.0,0.0,0.020048074065749488,13.829632556034973,-27.59247549794071,27.56035971517673,-0.09159306208580316,7.78528011870355,-15.589337405249248,15.476225892012192,191.25913856021617,6.061897581570302e-05,-0.0023649406894426313,0.1076491530410219,-0.003702724306403109,-0.011006933772042298,0.011613042596639077,-0.9476518334513393,26.57893624393974,151.98398053734553,False
1194,34.1343444,24.0,0.0,0.019925504555359463,13.829406820686412,-27.593144567526366,27.55831813073999,-0.09160262807176489,7.785421307235575,-15.589786775239364,15.477690880937534,191.2528900377796,6.0621175972627327e-05,-0.002373663629560642,0.10764915616588679,-0.0037200122215309554,-0.011047532178845923,0.011657034707462093,-0.9477994331967429,26.57893624393974,151.98701228164717,False
1195,34.1412725,24.0,0.0,0.019802922206219455,13.829180232837356,-27.593796357628463,27.55625928777826,-0.09161213747121792,7.785563050098828,-15.59022622668168,15.47914623559002,191.24661806802735,6.062338479079619e-05,-0.0023823989902387204,0.1076491592727401,-0.00373736669636569,-0.011088188393561045,0.011701103865627605,-0.9479478292838073,26.57893624393974,151.990056219874,False
1196,34.1482064,24.0,0.0,0.01968032709447216,13.828952791238697,-27.594430864348965,27.55418318401638,-0.09162159025648015,7.785705348251904,-15.590655755266724,15.4805919511269,191.2403226175831,6.0625602285599435e-05,-0.0023911467630855984,0.1076491623615377,-0.003754787838398685,-0.011128902377132932,0.011745250096576986,-0.9480970147081207,26.57893624393974,151.99311237481456,False
1197,34.155146099999996,24.0,0.0,0.019557719296296922,13.828724494641921,-27.59504808379785,27.552089817187294,-0.09163098639987471,7.78584820265345,-15.591075356686964,15.482028022706704,191.23400365309357,6.062782847243058e-05,-0.0023999069396657092,0.10764916543223577,-0.0037722757551065926,-0.011169674090300672,0.011789473425734467,-0.9482469825406623,26.57893624393974,151.9961807692606,False
1198,34.1620916,24.0,0.0,0.019435098887919586,13.828495341799096,-27.595648012090635,27.549979185031958,-0.09164032587373039,7.7859916142621435,-15.591485026636803,15.483454445489265,191.22766114122808,6.063006336668666e-05,-0.0024086795114991845,0.10764916848479057,-0.003789830553951345,-0.011210503493597168,0.011833773878506277,-0.9483977259268404,26.57893624393974,151.99926142600637,False
1199,34.1690429,24.0,0.0,0.019312465945596866,13.828265331462879,-27.596230645351312,27.54785128529855,-0.09164960865038113,7.786135584036702,-15.591884760812603,15.484871214635723,191.22129504867908,6.063230698376831e-05,-0.0024174644700619076,0.10764917151915862,-0.003807452342379647,-0.011251390547349381,0.011878151480279885,-0.9485492380855202,26.57893624393974,152.00235436784888,False
1200,34.176,24.0,0.0,0.0191898205456083,13.828034462386514,-27.59679597971146,27.54570611574451,-0.09165883470216662,7.7862801129358745,-15.592274554912677,15.486278325308536,191.21490534216164,6.0634559339079654e-05,-0.0024262618067853728,0.10764917453529653,-0.003825141227823439,-0.011292335211677669,0.01192260625642271,-0.9487015123081185,26.57893624393974,152.0054596175872,False
